ORIGIN_AIRPORT,flights,delay_rate,avg_arrival_delay
BOI,109,0.30275229357798167,17.871559633027523
BDL,186,0.3010752688172043,11.204301075268818
GRB,40,0.3,7.925
BTV,34,0.29411764705882354,16.08823529411765
SAT,290,0.29310344827586204,11.689655172413794
PHL,565,0.2920353982300885,12.945132743362832
LAS,1180,0.29152542372881357,11.548305084745763
SYR,52,0.28846153846153844,17.865384615384617
BWI,747,0.2878179384203481,12.457831325301205
JFK,941,0.28374070138150903,11.371944739638682
SJU,304,0.28289473684210525,17.82236842105263
SAV,85,0.2823529411764706,18.305882352941175
ALB,64,0.28125,25.0625
GEG,86,0.27906976744186046,20.174418604651162
ONT,172,0.27906976744186046,11.598837209302326
MIA,727,0.2751031636863824,11.91334250343879
PIT,216,0.27314814814814814,11.916666666666666
BUR,165,0.2727272727272727,17.89090909090909
CVG,178,0.2696629213483146,7.589887640449438
OKC,149,0.2684563758389262,10.644295302013424
MFE,41,0.2682926829268293,19.048780487804876
AUS,354,0.2655367231638418,8.451977401129943
KOA,106,0.2641509433962264,10.31132075471698
BIS,31,0.25806451612903225,11.774193548387096
TUS,159,0.2578616352201258,17.465408805031448
BNA,441,0.2562358276643991,7.433106575963719
HPN,59,0.2542372881355932,6.966101694915254
SAN,679,0.2533136966126657,9.176730486008836
COS,83,0.25301204819277107,14.493975903614459
MSY,340,0.2529411764705882,10.58235294117647
MCI,348,0.25,8.775862068965518
JAX,180,0.24444444444444444,8.972222222222221
MSP,876,0.2420091324200913,7.3744292237442925
TPA,646,0.23993808049535603,9.523219814241486
SFO,1450,0.23724137931034484,9.71103448275862
GJT,34,0.23529411764705882,23.470588235294116
BOS,830,0.23493975903614459,12.714457831325301
MCO,1113,0.23360287511230907,9.025157232704403
ISP,43,0.23255813953488372,6.651162790697675
SLC,921,0.23127035830618892,8.94028230184582
SEA,988,0.2257085020242915,7.869433198380567
ATL,2838,0.2255109231853418,5.490133897110641
BUF,145,0.2206896551724138,3.806896551724138
RSW,340,0.22058823529411764,9.008823529411766
DTW,853,0.21453692848769051,4.4314185228604925
IND,231,0.21212121212121213,6.329004329004329
FLL,795,0.21006289308176102,4.2176100628930815
CMH,219,0.2100456621004566,8.082191780821917
SBA,67,0.208955223880597,5.850746268656716
CLT,928,0.2025862068965517,4.693965517241379
LGA,827,0.20193470374848851,1.5973397823458282
CLE,285,0.2,0.0456140350877193
MEM,137,0.19708029197080293,13.562043795620438
SNA,317,0.19242902208201892,4.921135646687697
CHS,105,0.19047619047619047,10.914285714285715
RIC,139,0.18705035971223022,9.359712230215827
PBI,281,0.18505338078291814,4.708185053380783
RDU,287,0.18118466898954705,5.219512195121951
PVD,105,0.18095238095238095,6.885714285714286
RNO,129,0.17829457364341086,3.7674418604651163
MHT,51,0.17647058823529413,2.4313725490196076
DCA,577,0.1733102253032929,3.3310225303292893
SDF,91,0.16483516483516483,-3.1758241758241756
PDX,436,0.16055045871559634,0.8876146788990825
ROC,63,0.15873015873015872,2.492063492063492
TLH,34,0.14705882352941177,8.176470588235293
ORF,84,0.14285714285714285,1.880952380952381
ACY,37,0.13513513513513514,4.54054054054054
DAY,77,0.12987012987012986,-1.8181818181818181
GSO,62,0.12903225806451613,1.8548387096774193
MFR,32,0.125,5.375
LGB,90,0.12222222222222222,2.911111111111111
FNT,42,0.11904761904761904,-3.380952380952381
SRQ,35,0.11428571428571428,6.485714285714286
CAK,56,0.10714285714285714,-5.214285714285714
MRY,32,0.09375,-7.84375
EUG,45,0.08888888888888889,-8.333333333333334
EYW,34,0.08823529411764706,-0.9117647058823529
ANC,144,0.08333333333333333,-11.854166666666666
